periodo;rama_sector;fbkf_$2004
2006;"191. Curtido y terminación de cueros; fabricación de artículos de marroquinería y talabartería"; 53 
2006;192. Fabricación de calzado y de sus partes; 26 
2006;201. Aserrado y cepillado de madera; 43 
2006;202. Fabricación de productos de madera, corcho, paja y materiales trenzables; 66 
2006;210. Fabricación de papel y productos de papel; 454 
2006;221. Edición; 54 
2006;222. Impresión y servicios conexos; 139 
2006;223. Reproducción de grabaciones; 0 
2006;231. Fabricación de productos de hornos de coque; 1 
2006;232. Fabricación de productos de la refinación del petróleo; 326 
2006;233. Elaboración de combustible nuclear; 0 
2006;241. Fabricación de sustancias químicas básicas; 148 
2006;242. Fabricación de productos químicos n.c.p.; 691 
2006;243. Fabricación de fibras manufacturadas; 2 
2006;251. Fabricación de productos de caucho; 54 
2006;252. Fabricación de productos de plástico; 492 
2006;261. Fabricación de vidrio y productos de vidrio; 106 
2006;269. Fabricación de productos minerales no metálicos n.c.p.; 405 
2006;271. Industrias básicas de hierro y acero; 1.124 
2006;272. Fabricación de productos primarios de metales preciosos y metales no ferrosos; 902 
2006;273. Fundición de metales; 46 
2006;281. Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor; 55 
2006;"289. Fabricación de productos elaborados de metal n.c.p.; servicios de trabajo de metales"; 226 
2006;291. Fabricación de maquinaria de uso general; 73 
2006;292. Fabricación de maquinaria de uso especial; 131 
2006;293. Fabricación de aparatos de uso doméstico n.c.p.; 63 
2006;300. Fabricación de maquinaria de oficina, contabilidad e informática; 1 
2006;311. Fabricación de motores, generadores y transformadores eléctricos; 25 
2006;312. Fabricación de aparatos de distribución y control de energía eléctrica; 6 
2006;313. Fabricación de hilos y cables aislados; 12 
2006;314. Fabricación de acumuladores y de pilas y baterías primarias; 4 
2006;315. Fabricación de lámparas eléctricas y equipo de iluminación; 4 
2006;319. Fabricación de equipo eléctrico n.c.p.; 22 
2006;321. Fabricación de tubos, válvulas y otros componentes electrónicos; 6 
2006;322. Fabricación de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilos; 1 
2006;323. Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos; 59 
2006;331. Fabricación de aparatos e instrumentos médicos y de aparatos para medir, verificar, ensayar, navegar y otros fines, excepto instrumentos de óptica; 23 
2006;332. Fabricación de instrumentos de óptica y equipo fotográfico; 9 
2006;333. Fabricación de relojes; 0 
2006;341. Fabricación de vehículos automotores; 1.133 
2006;"342. Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques"; 16 
2006;"343. Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores"; 261 
2006;351. Construcción y reparación de buques y embarcaciones n.c.p.; 53 
2006;352. Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías; 10 
2006;353. Fabricación y reparación de aeronaves; 6 
2006;359. Fabricación de equipo de transporte n.c.p.; 8 
2006;361. Fabricación de muebles y colchones; 50 
2006;369. Industrias manufactureras n.c.p.; 32 
2006;371. Reciclamiento de desperdicios y desechos metálicos; 4 
2006;372. Reciclamiento de desperdicios y desechos no metálicos; 16 
2006;E - Electricidad, gas y agua;-1.092 
2006;401. Generación, transporte y distribución de energía eléctrica; 1.220 
2006;402. Fabricación de gas y distribución de combustibles gaseosos por tuberías; 86 
2006;403. Suministro de vapor y agua caliente;-0 
2006;410. Captación, depuración y distribución de agua;-2.398 
2006;F - Construcción; 1.407 
2006;451. Preparación de terrenos para obras; 52 
2006;452. Construcción de edificios y sus partes y obras de ingeniería civil; 1.320 
2006;453. Instalaciones para edificios y obras de ingeniería civil; 31 
2006;454. Terminación de edificios y obras de ingeniería civil;-10 
2006;455. Alquiler de equipo de construcción o demolición dotado de operarios; 14 
2006;G - Comercio al por mayor y al por menor, reparación de vehículos automotores, motocicletas efectos personales y enseres domésticos; 4.257 
